id,observed_on,user_id,user_login,quality_grade,tag_list,id_please,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,positioning_method,place_county_name,place_state_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
37166842,2020-01-01,257635,skrentnyjeff,research,"",false,1,0,false,3,"LaBagh Woods, North Park, Chicago, Cook County, IL, USA",,Cook,Illinois,American sycamore,Platanus occidentalis,American sycamore,Plantae,49662
37166994,2020-01-01,257635,skrentnyjeff,research,"",false,1,0,false,3,"LaBagh Woods, North Park, Chicago, Cook County, IL, USA",,Cook,Illinois,White Oak,Quercus alba,white oak,Plantae,54779
37167029,2020-01-01,395216,missgreen,research,"",false,1,0,false,,"Downers Grove, IL, USA",,DuPage,Illinois,cutleaf teasel,Dipsacus laciniatus,cutleaf teasel,Plantae,117438
37167407,2020-01-01,257635,skrentnyjeff,research,"",false,1,0,false,3,"LaBagh Woods, North Park, Chicago, Cook County, IL, USA",,Cook,Illinois,American Sycamore,Platanus occidentalis,American sycamore,Plantae,49662
37167520,2020-01-01,257635,skrentnyjeff,research,"",false,1,0,false,3,"LaBagh Woods, North Park, Chicago, Cook County, IL, USA",,Cook,Illinois,Hill's Oak,Quercus ellipsoidalis,Hill's oak,Plantae,144029
37167548,2020-01-01,257635,skrentnyjeff,research,"",false,1,0,false,3,"LaBagh Woods, North Park, Chicago, Cook County, IL, USA",,Cook,Illinois,Eastern Cottonwood,Populus deltoides,eastern cottonwood,Plantae,52119
37167643,2020-01-01,257635,skrentnyjeff,research,"",false,1,0,false,3,"LaBagh Woods, North Park, Chicago, Cook County, IL, USA",,Cook,Illinois,Queen Anne's Lace,Daucus carota,Queen Anne's lace,Plantae,76610
37167661,2020-01-01,257635,skrentnyjeff,research,"",false,1,0,false,3,"LaBagh Woods, North Park, Chicago, Cook County, IL, USA",,Cook,Illinois,common milkweed,Asclepias syriaca,common milkweed,Plantae,47911
37167817,2020-01-01,257635,skrentnyjeff,research,"",false,1,0,false,3,"LaBagh Woods, North Park, Chicago, Cook County, IL, USA",,Cook,Illinois,common yucca,Yucca filamentosa,common yucca,Plantae,81605
37167868,2020-01-01,257635,skrentnyjeff,research,"",false,1,0,false,3,"LaBagh Woods, North Park, Chicago, Cook County, IL, USA",,Cook,Illinois,silver birch,Betula pendula,silver birch,Plantae,83992
37168009,2020-01-01,257635,skrentnyjeff,research,"",false,1,0,false,3,"LaBagh Woods, North Park, Chicago, Cook County, IL, USA",,Cook,Illinois,Indiangrass,Sorghastrum nutans,Indiangrass,Plantae,122608
37168112,2020-01-01,257635,skrentnyjeff,research,"",false,1,0,false,3,"LaBagh Woods, North Park, Chicago, Cook County, IL, USA",,Cook,Illinois,cutleaf teasel,Dipsacus laciniatus,cutleaf teasel,Plantae,117438
37168190,2020-01-01,257635,skrentnyjeff,research,"",false,1,0,false,3,"LaBagh Woods, North Park, Chicago, Cook County, IL, USA",,Cook,Illinois,eastern redcedar,Juniperus virginiana,eastern redcedar,Plantae,49399
37168192,2020-01-01,2231344,rarecatsnake,research,"",false,0,0,false,3,"Southern Illinois University Carbondale, Carbondale, IL, US",,Jackson,Illinois,shingle oak,Quercus imbricaria,shingle oak,Plantae,117428
37168373,2020-01-01,2231344,rarecatsnake,research,"",false,1,0,false,3,"Southern Illinois University Carbondale, Carbondale, IL, US",,Jackson,Illinois,green ash,Fraxinus pennsylvanica,green ash,Plantae,54808
37168398,2020-01-01,2231344,rarecatsnake,research,"",false,1,0,false,3,"Southern Illinois University Carbondale, Carbondale, IL, US",,Jackson,Illinois,common hackberry,Celtis occidentalis,common hackberry,Plantae,54857
37168528,2020-01-01,2231344,rarecatsnake,research,"",false,0,0,false,3,"Southern Illinois University Carbondale, Carbondale, IL, US",,Jackson,Illinois,baldcypress,Taxodium distichum,baldcypress,Plantae,49666
37168673,2020-01-01,2231344,rarecatsnake,research,"",false,1,0,false,3,"Southern Illinois University Carbondale, Carbondale, IL, US",,Jackson,Illinois,American sweetgum,Liquidambar styraciflua,American sweetgum,Plantae,49658
37168695,2020-01-01,257635,skrentnyjeff,research,"",false,1,0,false,3,"LaBagh Woods, North Park, Chicago, Cook County, IL, USA",,Cook,Illinois,pin oak,Quercus palustris,pin oak,Plantae,54785
37168834,2020-01-01,2231344,rarecatsnake,research,"",false,1,0,false,3,"Southern Illinois University Carbondale, Carbondale, IL, US",,Jackson,Illinois,sugar maple,Acer saccharum,sugar maple,Plantae,52543
37168873,2020-01-01,257635,skrentnyjeff,research,"",false,1,0,false,3,"LaBagh Woods, North Park, Chicago, Cook County, IL, USA",,Cook,Illinois,sharp-lobed hepatica,Hepatica acutiloba,sharp-lobed hepatica,Plantae,179786
37168885,2020-01-01,2231344,rarecatsnake,research,"",false,1,0,false,3,"Southern Illinois University Carbondale, Carbondale, IL, US",,Jackson,Illinois,river birch,Betula nigra,river birch,Plantae,117429
37168907,2020-01-01,1322225,tabitha1,research,"",false,1,0,false,3,"Ferne Clyffe State Park, Goreville, IL, US",,Johnson,Illinois,blackjack oak,Quercus marilandica,blackjack oak,Plantae,82329
37168915,2020-01-01,2231344,rarecatsnake,research,"",false,1,0,false,3,"Southern Illinois University Carbondale, Carbondale, IL, US",,Jackson,Illinois,American sycamore,Platanus occidentalis,American sycamore,Plantae,49662
37169037,2020-01-01,257635,skrentnyjeff,research,"",false,1,0,false,3,"LaBagh Woods, North Park, Chicago, Cook County, IL, USA",,Cook,Illinois,Honeylocust,Gleditsia triacanthos,honey locust,Plantae,54797
37169038,2020-01-01,2231344,rarecatsnake,research,"",false,1,0,false,3,"Southern Illinois University Carbondale, Carbondale, IL, US",,Jackson,Illinois,Norway maple,Acer platanoides,Norway maple,Plantae,54763
37169068,2020-01-01,2231344,rarecatsnake,research,"",false,1,0,false,3,"Southern Illinois University Carbondale, Carbondale, IL, US",,Jackson,Illinois,eastern redcedar,Juniperus virginiana,eastern redcedar,Plantae,49399
37169118,2020-01-01,2231344,rarecatsnake,research,"",false,1,0,false,3,"Southern Illinois University Carbondale, Carbondale, IL, US",,Jackson,Illinois,flowering dogwood,Cornus florida,flowering dogwood,Plantae,54777
37169156,2020-01-01,2231344,rarecatsnake,research,"",false,1,0,false,3,"Southern Illinois University Carbondale, Carbondale, IL, US",,Jackson,Illinois,Japanese barberry,Berberis thunbergii,Japanese barberry,Plantae,58727
37169253,2020-01-01,2231344,rarecatsnake,research,"",false,1,0,false,3,"Southern Illinois University Carbondale, Carbondale, IL, US",,Jackson,Illinois,white ash,Fraxinus americana,white ash,Plantae,54805
37169351,2020-01-01,2231344,rarecatsnake,research,"",false,1,0,false,3,"Southern Illinois University Carbondale, Carbondale, IL, US",,Jackson,Illinois,white ash,Fraxinus americana,white ash,Plantae,54805
37169361,2020-01-01,257635,skrentnyjeff,research,"",false,1,0,false,3,"LaBagh Woods, North Park, Chicago, Cook County, IL, USA",,Cook,Illinois,Great Mullein,Verbascum thapsus,great mullein,Plantae,59029
37169488,2020-01-01,257635,skrentnyjeff,research,"",false,1,0,false,3,"LaBagh Woods, North Park, Chicago, Cook County, IL, USA",,Cook,Illinois,coralberry,Symphoricarpos orbiculatus,coralberry,Plantae,128838
37169881,2020-01-01,223879,wildernessbarbie,research,"",false,1,0,false,2,"Batavia, IL 60510, USA",,Kane,Illinois,round-headed bush clover,Lespedeza capitata,round-headed bush clover,Plantae,125186
37169898,2020-01-01,257635,skrentnyjeff,research,"",false,1,0,false,3,"LaBagh Woods, North Park, Chicago, Cook County, IL, USA",,Cook,Illinois,giant foxtail,Setaria faberi,giant foxtail,Plantae,79067
37170398,2020-01-01,382342,jnelson7408,research,"",false,1,0,false,2,"Campton Hills, IL, USA",,Kane,Illinois,wild carrot,Daucus carota,Queen Anne's lace,Plantae,76610
37170406,2020-01-01,1940575,jenniferannifer,research,"",false,1,0,false,2,"Campton Hills, IL, USA",,Kane,Illinois,wild carrot,Daucus carota,Queen Anne's lace,Plantae,76610
37170513,2020-01-01,382342,jnelson7408,research,"",false,1,0,false,2,"Campton Hills, IL, USA",,Kane,Illinois,eastern black walnut,Juglans nigra,eastern black walnut,Plantae,54504
37170516,2020-01-01,1940575,jenniferannifer,research,"",false,1,0,false,2,"Campton Hills, IL, USA",,Kane,Illinois,eastern black walnut,Juglans nigra,eastern black walnut,Plantae,54504
37170599,2020-01-01,382342,jnelson7408,research,"",false,1,0,false,2,"Campton Hills, IL, USA",,Kane,Illinois,basswood,Tilia americana,basswood,Plantae,54854
37170618,2020-01-01,1940575,jenniferannifer,research,"",false,1,0,false,2,"Campton Hills, IL, USA",,Kane,Illinois,basswood,Tilia americana,basswood,Plantae,54854
37170624,2020-01-01,382342,jnelson7408,research,"",false,1,0,false,2,"Campton Hills, IL, USA",,Kane,Illinois,boxelder maple,Acer negundo,boxelder,Plantae,47726
37170659,2020-01-01,1940575,jenniferannifer,research,"",false,1,0,false,2,"Campton Hills, IL, USA",,Kane,Illinois,boxelder maple,Acer negundo,boxelder,Plantae,47726
37170695,2020-01-01,382342,jnelson7408,research,"",false,1,0,false,2,"Campton Hills, IL, USA",,Kane,Illinois,Common Buckthorn,Rhamnus cathartica,common buckthorn,Plantae,54811
37170721,2020-01-01,1940575,jenniferannifer,research,"",false,1,0,false,2,"Campton Hills, IL, USA",,Kane,Illinois,nerprun purgatif,Rhamnus cathartica,common buckthorn,Plantae,54811
37170752,2020-01-01,382342,jnelson7408,research,"",false,1,0,false,2,"Campton Hills, IL, USA",,Kane,Illinois,Amur honeysuckle,Lonicera maackii,Amur honeysuckle,Plantae,82342
37170769,2020-01-01,1940575,jenniferannifer,research,"",false,1,0,false,2,"Campton Hills, IL, USA",,Kane,Illinois,Amur honeysuckle,Lonicera maackii,Amur honeysuckle,Plantae,82342
37170814,2020-01-01,382342,jnelson7408,research,"",false,1,0,false,2,"Campton Hills, IL, USA",,Kane,Illinois,Oriental bittersweet,Celastrus orbiculatus,Oriental bittersweet,Plantae,64540
37170843,2020-01-01,1940575,jenniferannifer,research,"",false,1,0,false,2,"Campton Hills, IL, USA",,Kane,Illinois,Oriental bittersweet,Celastrus orbiculatus,Oriental bittersweet,Plantae,64540
37170964,2020-01-01,382342,jnelson7408,research,"",false,1,0,false,2,"Campton Hills, IL, USA",,Kane,Illinois,shagbark hickory,Carya ovata,shagbark hickory,Plantae,54791
37170973,2020-01-01,1940575,jenniferannifer,research,"",false,1,0,false,2,"Campton Hills, IL, USA",,Kane,Illinois,shagbark hickory,Carya ovata,shagbark hickory,Plantae,54791
37171378,2020-01-01,257635,skrentnyjeff,research,"",false,1,0,false,3,"River Park, North Side, Chicago, Cook County, IL, USA",,Cook,Illinois,Cencio molle,Abutilon theophrasti,velvetleaf,Plantae,60214
37171476,2020-01-01,395895,wildlandblogger,research,"",false,1,0,false,,"Springfield, IL, USA",,Sangamon,Illinois,garlic mustard,Alliaria petiolata,garlic mustard,Plantae,56061
37171477,2020-01-01,395895,wildlandblogger,research,"",false,1,0,false,,"Springfield, IL, USA",,Sangamon,Illinois,northern spicebush,Lindera benzoin,northern spicebush,Plantae,54793
37171478,2020-01-01,395895,wildlandblogger,research,"",false,1,0,false,,"Springfield, IL, USA",,Sangamon,Illinois,blue phlox,Phlox divaricata,blue phlox,Plantae,81705
37171481,2020-01-01,395895,wildlandblogger,research,"",false,1,0,false,,"Springfield, IL, USA",,Sangamon,Illinois,bristly greenbrier,Smilax tamnoides,bristly greenbrier,Plantae,128943
37171486,2020-01-01,395895,wildlandblogger,research,"",false,0,0,false,,"Springfield, IL, USA",,Sangamon,Illinois,yellow giant hyssop,Agastache nepetoides,yellow giant hyssop,Plantae,129634
37171488,2020-01-01,395895,wildlandblogger,research,"",false,2,0,false,,"Springfield, IL, USA",,Sangamon,Illinois,stickseed,Hackelia virginiana,stickseed,Plantae,128620
37171490,2020-01-01,395895,wildlandblogger,research,"",false,1,0,false,,"Springfield, IL, USA",,Sangamon,Illinois,multiflora rose,Rosa multiflora,multiflora rose,Plantae,78882
37171491,2020-01-01,395895,wildlandblogger,research,"",false,2,0,false,,"Springfield, IL, USA",,Sangamon,Illinois,common hackberry,Celtis occidentalis,common hackberry,Plantae,54857
37171494,2020-01-01,395895,wildlandblogger,research,"",false,1,0,false,,"Springfield, IL, USA",,Sangamon,Illinois,common pawpaw,Asimina triloba,common pawpaw,Plantae,50897
37171496,2020-01-01,395895,wildlandblogger,research,"",false,0,0,false,,"Springfield, IL, USA",,Sangamon,Illinois,black oak,Quercus velutina,black oak,Plantae,49006
37171498,2020-01-01,395895,wildlandblogger,research,"",false,0,0,false,,"Springfield, IL, USA",,Sangamon,Illinois,white avens,Geum canadense,white avens,Plantae,85325
37171499,2020-01-01,395895,wildlandblogger,research,"",false,1,0,false,,"Springfield, IL, USA",,Sangamon,Illinois,shingle oak,Quercus imbricaria,shingle oak,Plantae,117428
37171503,2020-01-01,395895,wildlandblogger,research,"",false,1,0,false,,"Springfield, IL, USA",,Sangamon,Illinois,sassafras,Sassafras albidum,sassafras,Plantae,54795
37171869,2020-01-01,994711,alderjulius,research,"",false,0,0,false,3,"Gillson Park, Wilmette, IL, US",,Cook,Illinois,baldcypress,Taxodium distichum,baldcypress,Plantae,49666
37172371,2020-01-01,395895,wildlandblogger,research,"",false,0,0,false,,"Springfield, IL, USA",,Sangamon,Illinois,American germander,Teucrium canadense,American germander,Plantae,64547
37172372,2020-01-01,395895,wildlandblogger,research,"",false,1,0,false,,"Springfield, IL, USA",,Sangamon,Illinois,tall bellflower,Campanulastrum americanum,tall bellflower,Plantae,159769
37172373,2020-01-01,395895,wildlandblogger,research,"",false,0,0,false,,"Springfield, IL, USA",,Sangamon,Illinois,roughleaf dogwood,Cornus drummondii,roughleaf dogwood,Plantae,54776
37172376,2020-01-01,395895,wildlandblogger,research,"",false,1,0,false,,"Springfield, IL, USA",,Sangamon,Illinois,tulip tree,Liriodendron tulipifera,tulip tree,Plantae,53582
37172377,2020-01-01,395895,wildlandblogger,research,"",false,1,0,false,,"Springfield, IL, USA",,Sangamon,Illinois,bitternut hickory,Carya cordiformis,bitternut hickory,Plantae,54787
37172380,2020-01-01,395895,wildlandblogger,research,"",false,1,0,false,,"Springfield, IL, USA",,Sangamon,Illinois,black cherry,Prunus serotina,black cherry,Plantae,54834
37172381,2020-01-01,395895,wildlandblogger,research,"",false,0,0,false,,"Springfield, IL, USA",,Sangamon,Illinois,shagbark hickory,Carya ovata,shagbark hickory,Plantae,54791
37172383,2020-01-01,395895,wildlandblogger,research,"",false,1,0,false,,"Springfield, IL, USA",,Sangamon,Illinois,white oak,Quercus alba,white oak,Plantae,54779
37172387,2020-01-01,395895,wildlandblogger,research,"",false,1,0,false,,"Springfield, IL, USA",,Sangamon,Illinois,American hophornbeam,Ostrya virginiana,American hophornbeam,Plantae,54771
37172392,2020-01-01,395895,wildlandblogger,research,"",false,1,0,false,,"Springfield, IL, USA",,Sangamon,Illinois,Beak Grass,Diarrhena obovata,Beak Grass,Plantae,161767
37172393,2020-01-01,395895,wildlandblogger,research,"",false,1,0,false,,"Springfield, IL, USA",,Sangamon,Illinois,silky wild rye,Elymus villosus,silky wild rye,Plantae,155116
37172394,2020-01-01,395895,wildlandblogger,research,"",false,1,0,false,,"Springfield, IL, USA",,Sangamon,Illinois,inland sea oats,Chasmanthium latifolium,inland sea oats,Plantae,84364
37172400,2020-01-01,395895,wildlandblogger,research,"",false,1,0,false,,"Springfield, IL, USA",,Sangamon,Illinois,honewort,Cryptotaenia canadensis,honewort,Plantae,129021
37172404,2020-01-01,395895,wildlandblogger,research,"",false,1,0,false,,"Springfield, IL, USA",,Sangamon,Illinois,white ash,Fraxinus americana,white ash,Plantae,54805
37172405,2020-01-01,395895,wildlandblogger,research,"",false,1,0,false,,"Springfield, IL, USA",,Sangamon,Illinois,American hazelnut,Corylus americana,American hazelnut,Plantae,54770
37172409,2020-01-01,395895,wildlandblogger,research,Jared's target of the day,false,3,0,false,,"Springfield, IL, USA",,Sangamon,Illinois,Indian pipe,Monotropa uniflora,Indian pipe,Plantae,49477
37172412,2020-01-01,395895,wildlandblogger,research,"",false,1,0,false,,"Springfield, IL, USA",,Sangamon,Illinois,silky wild rye,Elymus villosus,silky wild rye,Plantae,155116
37172414,2020-01-01,395895,wildlandblogger,research,"",false,3,0,false,,"Springfield, IL, USA",,Sangamon,Illinois,Indian pipe,Monotropa uniflora,Indian pipe,Plantae,49477
37172416,2020-01-01,395895,wildlandblogger,research,"",false,1,0,false,,"Springfield, IL, USA",,Sangamon,Illinois,woodland stonecrop,Sedum ternatum,woodland stonecrop,Plantae,127597
37172419,2020-01-01,395895,wildlandblogger,research,"",false,1,0,false,,"Springfield, IL, USA",,Sangamon,Illinois,northern red oak,Quercus rubra,northern red oak,Plantae,49005
37172420,2020-01-01,395895,wildlandblogger,research,"",false,1,0,false,,"Springfield, IL, USA",,Sangamon,Illinois,American sycamore,Platanus occidentalis,American sycamore,Plantae,49662
37172421,2020-01-01,395895,wildlandblogger,research,"",false,1,0,false,,"Springfield, IL, USA",,Sangamon,Illinois,white oak,Quercus alba,white oak,Plantae,54779
37172423,2020-01-01,395895,wildlandblogger,research,"",false,1,0,false,,"Springfield, IL, USA",,Sangamon,Illinois,black oak,Quercus velutina,black oak,Plantae,49006
37172425,2020-01-01,395895,wildlandblogger,research,"",false,1,0,false,,"Springfield, IL, USA",,Sangamon,Illinois,woodland stonecrop,Sedum ternatum,woodland stonecrop,Plantae,127597
37172429,2020-01-01,395895,wildlandblogger,research,"",false,1,0,false,,"Springfield, IL, USA",,Sangamon,Illinois,stout wood reed,Cinna arundinacea,stout wood reed,Plantae,130901
37172431,2020-01-01,395895,wildlandblogger,research,"",false,1,0,false,,"Springfield, IL, USA",,Sangamon,Illinois,fragrant bedstraw,Galium triflorum,fragrant bedstraw,Plantae,53065
37172439,2020-01-01,395895,wildlandblogger,research,"",false,1,0,false,,"Springfield, IL, USA",,Sangamon,Illinois,American pokeweed,Phytolacca americana,American pokeweed,Plantae,48599
37172440,2020-01-01,395895,wildlandblogger,research,"",false,1,0,false,,"Springfield, IL, USA",,Sangamon,Illinois,bluestem goldenrod,Solidago caesia,bluestem goldenrod,Plantae,120005
37172450,2020-01-01,395895,wildlandblogger,research,"",false,1,0,false,,"Springfield, IL, USA",,Sangamon,Illinois,false nettle,Boehmeria cylindrica,false nettle,Plantae,75832
37172451,2020-01-01,395895,wildlandblogger,research,"",false,1,0,false,,"Springfield, IL, USA",,Sangamon,Illinois,Short's aster,Symphyotrichum shortii,Short's aster,Plantae,169487
37172460,2020-01-01,395895,wildlandblogger,research,"",false,1,0,false,,"Springfield, IL, USA",,Sangamon,Illinois,stout wood reed,Cinna arundinacea,stout wood reed,Plantae,130901
37172463,2020-01-01,395895,wildlandblogger,research,"",false,1,0,false,,"Springfield, IL, USA",,Sangamon,Illinois,bitternut hickory,Carya cordiformis,bitternut hickory,Plantae,54787
37172742,2020-01-01,931776,johnhboldt,research,"",false,1,0,false,,"Fox Lake, IL, USA",,Lake,Illinois,bur oak,Quercus macrocarpa,bur oak,Plantae,54781
37172743,2020-01-01,931776,johnhboldt,research,"",false,1,0,false,,"Fox Lake, IL, USA",,Lake,Illinois,bur oak,Quercus macrocarpa,bur oak,Plantae,54781
37172751,2020-01-01,931776,johnhboldt,research,"",false,1,0,false,,"Fox Lake, IL, USA",,Lake,Illinois,smooth sumac,Rhus glabra,smooth sumac,Plantae,54764
37172753,2020-01-01,931776,johnhboldt,research,"",false,1,0,false,,"Lake County, US-IL, US",,Lake,Illinois,Indiangrass,Sorghastrum nutans,Indiangrass,Plantae,122608
37172755,2020-01-01,931776,johnhboldt,research,"",false,1,0,false,,"Lake County, US-IL, US",,Lake,Illinois,hoary vervain,Verbena stricta,hoary vervain,Plantae,63319
37172756,2020-01-01,931776,johnhboldt,research,"",false,1,0,false,,"Lake County, US-IL, US",,Lake,Illinois,eastern redcedar,Juniperus virginiana,eastern redcedar,Plantae,49399
37172762,2020-01-01,931776,johnhboldt,research,"",false,1,0,false,,"Lake County, US-IL, US",,Lake,Illinois,wild carrot,Daucus carota,Queen Anne's lace,Plantae,76610
37172763,2020-01-01,931776,johnhboldt,research,"",false,1,0,false,,"Lake County, IL, USA",,Lake,Illinois,round-headed bush clover,Lespedeza capitata,round-headed bush clover,Plantae,125186
37172769,2020-01-01,395895,wildlandblogger,research,"",false,1,0,false,,"Springfield, IL, USA",,Sangamon,Illinois,northern red oak,Quercus rubra,northern red oak,Plantae,49005
37172771,2020-01-01,395895,wildlandblogger,research,"",false,1,0,false,,"Springfield, IL, USA",,Sangamon,Illinois,cutleaf coneflower,Rudbeckia laciniata,cutleaf coneflower,Plantae,116735
37172774,2020-01-01,931776,johnhboldt,research,"",false,1,0,false,,"Lake County, IL, USA",,Lake,Illinois,Virginia mountain mint,Pycnanthemum virginianum,Virginia mountain mint,Plantae,154473
37172775,2020-01-01,931776,johnhboldt,research,"",false,1,0,false,,"Lake County, IL, USA",,Lake,Illinois,white wild indigo,Baptisia alba,white wild indigo,Plantae,126835
37172776,2020-01-01,931776,johnhboldt,research,"",false,1,0,false,,"Lake County, IL, USA",,Lake,Illinois,little bluestem,Schizachyrium scoparium,little bluestem,Plantae,122603
37172777,2020-01-01,395895,wildlandblogger,research,"",false,1,0,false,,"Springfield, IL, USA",,Sangamon,Illinois,inland sea oats,Chasmanthium latifolium,inland sea oats,Plantae,84364
37172779,2020-01-01,395895,wildlandblogger,research,"",false,1,0,false,,"Springfield, IL, USA",,Sangamon,Illinois,Butterweed,Packera glabella,Butterweed,Plantae,54921
37172781,2020-01-01,395895,wildlandblogger,research,"",false,1,0,false,,"Springfield, IL, USA",,Sangamon,Illinois,Virginia wildrye,Elymus virginicus,Virginia wildrye,Plantae,126873
37172783,2020-01-01,395895,wildlandblogger,research,"",false,1,0,false,,"Springfield, IL, USA",,Sangamon,Illinois,American black elderberry,Sambucus canadensis,black elderberry,Plantae,84300
37172785,2020-01-01,395895,wildlandblogger,research,"",false,1,0,false,,"Springfield, IL, USA",,Sangamon,Illinois,Butterweed,Packera glabella,Butterweed,Plantae,54921
37172787,2020-01-01,931776,johnhboldt,research,"",false,1,0,false,,"Lake County, IL, USA",,Lake,Illinois,Culver's root,Veronicastrum virginicum,Culver's root,Plantae,141767
37172788,2020-01-01,931776,johnhboldt,research,"",false,1,0,false,,"Lake County, IL, USA",,Lake,Illinois,prairie dock,Silphium terebinthinaceum,prairie dock,Plantae,121951
37172791,2020-01-01,395895,wildlandblogger,research,"",false,1,0,false,,"Springfield, IL, USA",,Sangamon,Illinois,multiflora rose,Rosa multiflora,multiflora rose,Plantae,78882
37172794,2020-01-01,395895,wildlandblogger,research,"",false,1,0,false,,"Springfield, IL, USA",,Sangamon,Illinois,shagbark hickory,Carya ovata,shagbark hickory,Plantae,54791
37172795,2020-01-01,395895,wildlandblogger,research,"",false,1,0,false,,"Springfield, IL, USA",,Sangamon,Illinois,Amur honeysuckle,Lonicera maackii,Amur honeysuckle,Plantae,82342
37172796,2020-01-01,931776,johnhboldt,research,"",false,1,0,false,,"Lake County, IL, USA",,Lake,Illinois,white oak,Quercus alba,white oak,Plantae,54779
37172798,2020-01-01,931776,johnhboldt,research,"",false,1,0,false,,"Lake County, IL, USA",,Lake,Illinois,common cowparsnip,Heracleum maximum,common cowparsnip,Plantae,53094
37172801,2020-01-01,395895,wildlandblogger,research,"",false,0,0,false,,"Springfield, IL, USA",,Sangamon,Illinois,eastern redcedar,Juniperus virginiana,eastern redcedar,Plantae,49399
